"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C7,C9","3","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C2","1","47u","","","","Capacitor_SMD:CP_Elec_6.3x5.7","~"
"C3","1","150p","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C4","1","22u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C5,C10,C11","3","1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C6","1","100p","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C8","1","100u","","","","Capacitor_SMD:CP_Elec_6.3x5.7","~"
"D1","1","LED","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
"D3","1","1N4148WT","","","","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.diodes.com/assets/Datasheets/ds30396.pdf"
"H1,H2,H3,H4","4","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~"
"J1,J2","2","Conn_01x02","","","","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","~"
"J3","1","Piles","","","","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","~"
"J4","1","Micro","","","","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","~"
"R1,R3","2","680","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2,R8,R9,R12","4","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R4,R6","2","2.2M","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R5,R7,R13","3","100","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R10","1","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R11","1","2.2k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R14","1","RV09AF-40-20K-A10K","","","","RV09AF-40-20K-A10K:TRIM_RV09AF-40-20K-A10K",""
"R15","1","220","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"SW1","1","SW_DIP_x01","","","","Button_Switch_THT:SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm","~"
"TP1,TP2,TP3,TP4","4","TestPoint","","","","TestPoint:TestPoint_Bridge_Pitch2.0mm_Drill0.7mm","~"
"U1","1","Opamp_Dual","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","~"
